fecha_extraccion,operacion,tipo_propiedad,titulo,precio_usd,alicuota_usd,superficie_m2,habitaciones,banos,estacionamientos,ubicacion_textual,ciudad,provincia,texto_card,url_aviso,pagina_resultado
2026-03-28T23:27:22.456199,alquiler,departamento,Departamento en arriendo en cumbaya colegio aleman,900.0,100.0,180,2,,2,"Colegio Aleman Cumbayá, Quito",Quito,Pichincha,"USD 900 USD 100 Alícuota 180 m² tot. 2 hab. 2 estac. Colegio Aleman Cumbayá, Quito Si buscas un hogar cómodo, bien ubicado y en una urbanización tranquila, este departamento es una excelente eleccións. 180 m con vista panorámica. 2 dormitorios con baño completo(también cuenta con baño social) Sala y comedor independientes. Cocina amplia con comedor diario. Estudio / family room + balcón. Acabados de primera (porcelanato español, chanul) 2 parqueaderos cubiertos + bodega. Cuarto de máquinas. Cuarto y baño de servicio. Urbanización exclusiva. Guardianía 24 horas. Cerca del Colegio Alemán, usfq, Paseo San Francisco y Ruta Viva. Precio: usd 900. Alícuota: usd 100",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-en-arriendo-en-cumbaya-colegio-aleman-148868317.html?n_src=Listado&n_pg=1&n_pos=1,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.457980,alquiler,departamento,Lindo departamento urbanizacion exclusiva sector,1130.0,120.0,280,3,2.0,2,"Miravalle Cumbayá, Quito",Quito,Pichincha,"USD 1.130 USD 120 Alícuota 280 m² tot. 3 hab. 2 baños 2 estac. Miravalle Cumbayá, Quito Venta o Alquiler amplio departamento Urbanización exclusiva, sector Miravalle, CumbayáExcelente ubicación cerca de Quito. Perfecto para los que buscan un departamento con jardín para sus mascotas. 180 m2 de área construida100 m2 de jardínPrecio de venta $225. 000Precio de alquiler $1250 (en el precio está incluído alícuota urbanización y alícuota del edificio) 3 habitacionesAmplio estudio y sala de estar que puede ser un cuarto dormitorio2 baños y medioAmplio jardín con jacuzziLa Urbanización tiene: Amplias áreas verdes con juegos infantiles, cancha de fútbol, cancha de tenis, básquet, seguridad, senderos, etcExcelente ubicación entre Quito y Cumbayá. #RentaQuito #RentaCumbayá #RentaMiravalle #DepartamentoEnRenta #VivirEnCumbayá #InmobiliariaQuito #CasaConJardín #DepartamentoDeLujo #VivirEnQuito #DepartamentoConJardín #PetFriendlyQuito #DepartamentoConJacuzzi #UrbanizaciónExclusiva #AmpliasÁreasVerdes #Seguridad24Horas #EspaciosAmplios #VidaTranquila #CumbayáLife #usfq #UniversidadSanFrancisco #RutaViva #ValleDeCumbayá #Miravalle #EntreQuitoycumbayá #VivirBien #VivirTranquilo #Confortyestilo #FamiliasFelices #ExclusividadQuito #JardínPrivado #Deporteynaturaleza",https://www.plusvalia.com/propiedades/clasificado/alclapin-lindo-departamento-urbanizacion-exclusiva-sector-149287818.html?n_src=Listado&n_pg=1&n_pos=2,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.458069,alquiler,departamento,USD 1.290 100 m² tot. 2 hab. 2,1290.0,,100,2,2.0,1,"6 de diciembre y el batan La Carolina, Quito",Quito,Pichincha,"USD 1.290 100 m² tot. 2 hab. 2 baños 1 estac. 6 de diciembre y el batan La Carolina, Quito Vive en lo alto con estilo y comodidad en el Edificio Atelier. Disfruta de un acogedor y moderno departamento ubicado en un piso alto, con una vista espectacular y todas las comodidades que mereces. Características del departamento: 2 dormitorios, cada uno con su baño privado. Baño social adicional. Sala, comedor y cocina estilo americano. Amplio balcón, perfecto para relajarte o disfrutar del atardecer. 1 parqueadero. Se aceptan mascotas. Incluye Internet. El edificio ofrece lo mejor en amenidades: Piscina. Sauna, turco y jacuzzi. Salas de juegos para niños y adultos. Cine privado. Business center. Área de lavandería. Terraza con zona bbq. Cancha de squash. Áreas verdes y mucho más. Seguridad 24/7, para tu total tranquilidad. ¡Vive la experiencia Atelier! Un lugar donde la comodidad, el diseño y la buena energía se unen para ofrecerte el estilo de vida que siempre soñaste. ¡Ven y descubre tu próximo hogar!",https://www.plusvalia.com/propiedades/clasificado/veclapin-atelier-hermoso-y-acogedor-dpto.-2-habitaciones-con-143160169.html?n_src=Listado&n_pg=1&n_pos=3,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.458687,alquiler,departamento,Alquiler departamento sector el condado,430.0,,130,3,1.0,2,"Urbanizacion EL Condado El Condado, Quito",Quito,Pichincha,"USD 430 130 m² tot. 3 hab. 1 baño 2 estac. Urbanizacion EL Condado El Condado, Quito Departamento de alquiler en la urbanización el condadoexcelente ubicaciónZona residencial Facilidad de acceso en transporte público o privadoCerca del centro comercial El Condado, supermercados, centros educativos, centros médicos, restaurantes y cafeteríasEstá ubicado en un edificio con 3 departametos en total 1 por pisoCuenta con muy buena iluminación natural desde la planta baja del edificioÁrea 130m2Está distribuido en sala con chimenea, comedor, cocina independiente con espacio para lavadora, estudio, baño social, 3 habitaciones y 1 baño completo2 Parqueaderos1 BodegaLa urbanización cuenta con guardianía 24 horas, área verde, área de juegos infantiles y locales comerciales*valor alícuota urbanización $40, 00",https://www.plusvalia.com/propiedades/clasificado/alclapin-alquiler-departamento-sector-el-condado-148702844.html?n_src=Listado&n_pg=1&n_pos=4,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.458776,alquiler,departamento,Departamento en renta republica de el salvador,1300.0,,123,3,,1,"Finlandia República de El Salvador, Quito",Quito,Pichincha,"USD 1.300 123 m² tot. 3 hab. 1 estac. Finlandia República de El Salvador, Quito Elegante departamento con vista en piso 8amoblado3 dormitorios cada uno con bañococina americanaamplio balcónlocalizado en calle de alta seguridaden el sector más demandado de la zona Republica del Salvador1 parqueadero1 bodegael gas es centralizadoPrecio incluye alicuota, agua caliente, electricidad, guardia 24/7video vigilanciagym semiequipadoárea infantilmesa de pingpongterraza panorámicasala de eventos",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-en-renta-republica-de-el-salvador-148829009.html?n_src=Listado&n_pg=1&n_pos=5,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.458863,alquiler,departamento,Departamento de lujo en renta en campo alegre,1950.0,110.0,442,3,3.0,4,"Del Platero y Del Gorrión Monteserrín, Quito",Quito,Pichincha,"USD 1.950 USD 110 Alícuota 442 m² tot. 3 hab. 3 baños 4 estac. Del Platero y Del Gorrión Monteserrín, Quito Cómodo, amplio, con mucha privacidad y vista este departamento está dentro de la urbanización más bonita y con altos estándares de seguridad del centro norte de Quito Campo Alegre. Renta: $1. 950 más alícuota $110. venta: $595. 000. Cuenta con: Cocina estilo americana con alacena. Sala-comedor muy amplios con vista. Dormitorio Master con baño privado y 2 Walking Closet. Espacio grande para un estudio/ sala de tv / Gimnasio. Dos dormitorios con baño privado cada uno y Walking Closet. Terraza con área bbq. Baño social. Área de lavandería. Bodega. Cuatro estacionamientos. El departamento cuenta con puertas blindadas. Hermosa vista al bosque dentro de un edificio moderno y minimalista. La Urbanización cuenta con seguridad privada. La Urbanización cuenta con juegos infantiles, canchas de futbol, básquet, vóley, tenis y una Capilla. Juegos para mascotas",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-lujo-en-renta-en-campo-alegre-149126198.html?n_src=Listado&n_pg=1&n_pos=6,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.459359,alquiler,departamento,Departamento de alquiler con balcon en republica de el,900.0,130.0,110,2,2.0,1,"Austria República de El Salvador, Quito",Quito,Pichincha,"USD 900 USD 130 Alícuota 110 m² tot. 2 hab. 2 baños 1 estac. Austria República de El Salvador, Quito Departamento Amoblado en Renta – 110 m² | Excelente Ubicación. ideal para quienes buscan comodidad, estilo y áreas sociales completas. Características: ️ 2 habitaciones. 2 baños completos. Balcón. 1 parqueo. ️ Totalmente amoblado. Edificio con amenities de primer nivel: Piscina. Gimnasio equipado. Terraza con bbq. Seguridad y áreas sociales modernas. Precio: $900 mensuales. $130 de condominio. Ideal para ejecutivos, parejas o familias pequeñas que buscan vivir con comodidad de la vida moderna",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-alquiler-con-balcon-en-republica-de-el-148747667.html?n_src=Listado&n_pg=1&n_pos=7,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.459451,alquiler,departamento,Departamento de 90 m sup2 con 2 recamaras en alquiler,470.0,60.0,90,2,2.0,1,"Galaxias 85 Los Chillos, Quito",Quito,Pichincha,"USD 470 USD 60 Alícuota 90 m² tot. 2 hab. 2 baños 1 estac. Av. Galaxias 85 Los Chillos, Quito Departamento en alquiler en mirasierra, ideal para quienes buscan comodidad y seguridad. Este inmueble de 90 m² ofrece 2 habitaciones y 2 baños, perfecto para familias pequeñas o parejas. - Cuenta con un estacionamiento. - La propiedad tiene acabados de lujo y clóset. Ubicado en una urbanización privada con guardianía/seguridad privada y caseta de guardia, este departamento garantiza tranquilidad. - Disfrute de comodidades como gimnasio, terraza y parqueadero para visitas. - La cocina está equipada y cuenta con extractor de olores. El entorno ofrece centros comerciales, escuelas y parques cercanos, facilitando el acceso a servicios esenciales y áreas de recreación. Además, su ubicación frente a un parque proporciona un ambiente sereno y agradable. El dormitorio principal tiene baño propio y walk-in clóset. El precio es negociable.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-90-m-sup2--con-2-recamaras-en-alquiler-148790737.html?n_src=Listado&n_pg=1&n_pos=8,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.459524,alquiler,departamento,USD 700 USD 100 Alícuota 150 m² tot.,700.0,100.0,150,3,2.0,2,"Quito Tenis Bajo Quito Tenis, Quito",Quito,Pichincha,"USD 700 USD 100 Alícuota 150 m² tot. 3 hab. 2 baños 2 estac. Calle San Francisco. Quito Tenis Bajo Quito Tenis, Quito Amplio y funcional departamento ubicado en Quito Tenis Bajo, en un sector residencial con fácil acceso y cercanía a bancos, restaurantes y centros comerciales. El departamento cuenta con 150 m² habitables, excelente distribución y muy buenos acabados, ideal tanto para vivienda familiar como para inversión. Distribución: • Amplia área social• Cocina independiente• Área de máquinas• Despensa• Estudio• Baño social• Dos dormitorios• Tercer dormitorio, ahora se utiliza como sala de tv (abierto, no tiene closet) • Dos baños completosComplementos: • Piso 3• Semiamoblado• Dos parqueaderos en línea• BodegaEl edificio dispone de seguridad 24 horas, terraza comunal con área bbq y sala de reuniones. • Año de construcción: 2005• Alícuota: $100? Precio de venta: $120. 000? Precio de renta: $700 incluida alícuotaUna excelente oportunidad en uno de los sectores más buscados del norte de Quito.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-tres-dorm.-en-quito-tenis-bajo-148626768.html?n_src=Listado&n_pg=1&n_pos=9,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.459601,alquiler,departamento,Renta o venta hermoso depto de 3 domitorios con,2300.0,1.0,189,3,3.0,2,"CUMBAYA Cumbayá, Quito",Quito,Pichincha,"USD 2.300 USD 1 Alícuota 189 m² tot. 3 hab. 3 baños 2 estac. CUMBAYA Cumbayá, Quito - vende ó renta- la renta es amoblado. ubicacion - cumbaya - sector site center. hermoso departamento de 3 dormitorios con amplio balcon - terraza. 3 domitorios cada uno con su baño. cocina abierta con area de desayunador. are de lavanderia. baño social. amplia sala - comedor. amplio balcon. 2 parqueaderos. bodega. edificio moderno con seguridad 24 hs - presenscial. area de bbq. area de juegos. gimnasio. piscina",https://www.plusvalia.com/propiedades/clasificado/veclapin-renta-o-venta-hermoso-depto-de-3-domitorios-con-62842181.html?n_src=Listado&n_pg=1&n_pos=10,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
