fecha_extraccion,operacion,tipo_propiedad,titulo,precio_usd,alicuota_usd,superficie_m2,habitaciones,banos,estacionamientos,ubicacion_textual,ciudad,provincia,texto_card,url_aviso,pagina_resultado
2026-03-28T23:19:28.230924,alquiler,departamento,Departamento de lujo en renta en campo alegre,1950.0,110.0,442,3,3.0,4,"Del Platero y Del Gorrión Monteserrín, Quito",Quito,Pichincha,"USD 1.950 USD 110 Alícuota 442 m² tot. 3 hab. 3 baños 4 estac. Del Platero y Del Gorrión Monteserrín, Quito Cómodo, amplio, con mucha privacidad y vista este departamento está dentro de la urbanización más bonita y con altos estándares de seguridad del centro norte de Quito Campo Alegre. Renta: $1. 950 más alícuota $110. venta: $595. 000. Cuenta con: Cocina estilo americana con alacena. Sala-comedor muy amplios con vista. Dormitorio Master con baño privado y 2 Walking Closet. Espacio grande para un estudio/ sala de tv / Gimnasio. Dos dormitorios con baño privado cada uno y Walking Closet. Terraza con área bbq. Baño social. Área de lavandería. Bodega. Cuatro estacionamientos. El departamento cuenta con puertas blindadas. Hermosa vista al bosque dentro de un edificio moderno y minimalista. La Urbanización cuenta con seguridad privada. La Urbanización cuenta con juegos infantiles, canchas de futbol, básquet, vóley, tenis y una Capilla. Juegos para mascotas",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-lujo-en-renta-en-campo-alegre-149126198.html?n_src=Listado&n_pg=1&n_pos=1,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.232688,alquiler,departamento,USD 650 78 m² tot. 2 hab. 2,650.0,,78,2,2.0,1,"Luxemburgo República de El Salvador, Quito",Quito,Pichincha,"USD 650 78 m² tot. 2 hab. 2 baños 1 estac. Luxemburgo República de El Salvador, Quito Hermoso Departamento amoblado Ubicado en el sector de la Luxemburgo cerca de todo. A 1 min de de la republica de salvador. a una cuadra de la Av. De los Shyris. Area del Departamento 78m² 2 Dormitorios. 2 baños Completos. 1 Parqueadero. 1 Bodega. no mascotas. valor de renta: $650 inc Alicuota ( incliye el servicio de Gas y Agua)",https://www.plusvalia.com/propiedades/clasificado/alclapin-$650-2-dorm.-amoblado-luxemburgo-republica-del-149360840.html?n_src=Listado&n_pg=1&n_pos=2,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.233162,alquiler,departamento,USD 700 USD 1 Alícuota 100 m² tot.,700.0,1.0,100,2,2.0,1,"Luxemburgo República de El Salvador, Quito",Quito,Pichincha,"USD 700 USD 1 Alícuota 100 m² tot. 2 hab. 2 baños 1 estac. Luxemburgo República de El Salvador, Quito Departamento 2 dormitorios amoblado, Luxemburgo. Moderno con vista al parque La Carolina. 2 dormitorios cada uno con su baño privado. 1 baño social. Sala. Comedor. Cocina de concepto abierto. Área de máquinas. 1 parqueadero. No mascotas. El edificio cuenta con. Seguridad 24/7, ascensores, sala de reuniones. Y area de bbq. Muy cerca a la shyris, Portugal, Quicentro, parque La Carolina.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-2-dorm.-amoblado-luxemburgo-149338551.html?n_src=Listado&n_pg=1&n_pos=3,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.233236,alquiler,departamento,Departamento por estrenar ubicado en zona de alto,1500.0,,101,2,2.0,2,"Ruta Viva Tumbaco, Quito",Quito,Pichincha,"USD 1.500 101 m² tot. 2 hab. 2 baños 2 estac. Ruta Viva Tumbaco, Quito Departamento por estrenar ubicado en zona de alto crecimiento y plusvalía de Tumbaco. Edificio Artemira: tiene áreas comunales con piscina, área de bbq, gimnasio, co-working, seguridad y planta eléctrica. Además el edifico cuenta con planta eléctrica, cisterna y ascensor desde el subsuelo de parqueaderos hasta el roof top. Estilo: Moderno y atemporal. El departamento 301, tiene: 81, 25 m2 totales. - 18, 72 m2 de sala exterior. - 2 habitaciones con cortinas screen y black out. - 2 baños completos. - Sala, comedor y cocina estilo americano que se integran con la sala exterior. - La cocina con muebles Madeval. - Área de lavandería junto a la cocina. - 2 parqueaderos. - 1 Bodega. Se entrega totalmente equipado con iluminación",https://www.plusvalia.com/propiedades/clasificado/veclapin-departamento-por-estrenar-ubicado-en-zona-de-alto-147274343.html?n_src=Listado&n_pg=1&n_pos=4,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.233319,alquiler,departamento,USD 600 110 m² tot. 3 hab. 2,600.0,,110,3,2.0,2,"De Los Laureles Monteserrín, Quito",Quito,Pichincha,"USD 600 110 m² tot. 3 hab. 2 baños 2 estac. De Los Laureles Monteserrín, Quito Departamento en renta 3 dormitorios, 2 baños, 2 parqueaderos, $600 incluido agua caliente, gas y alícuota de 100usd. Área 110m2. 3 dormitorios. 2 baños completos. Sala comedor. Cocina Cerrada con área de lavandería para una torre eléctrica. 2 Parqueaderos en línea. 1 Bodega, tendedero en terraza. Canon de renta 600 usd incluido alícuota. 2 meses de Garantía. El edificio cuenta con: Guardia hasta las 6pm, sistema de alarma, bbq, terraza, sala comunal. cbr Hilda Torres. Ver datos",https://www.plusvalia.com/propiedades/clasificado/alclapin-h-monteserrin-departamento-en-renta-3-dorm.-148865081.html?n_src=Listado&n_pg=1&n_pos=5,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.233412,alquiler,departamento,Renta o venta hermoso depto de 3 domitorios con,2300.0,1.0,189,3,3.0,2,"CUMBAYA Cumbayá, Quito",Quito,Pichincha,"USD 2.300 USD 1 Alícuota 189 m² tot. 3 hab. 3 baños 2 estac. CUMBAYA Cumbayá, Quito - vende ó renta- la renta es amoblado. ubicacion - cumbaya - sector site center. hermoso departamento de 3 dormitorios con amplio balcon - terraza. 3 domitorios cada uno con su baño. cocina abierta con area de desayunador. are de lavanderia. baño social. amplia sala - comedor. amplio balcon. 2 parqueaderos. bodega. edificio moderno con seguridad 24 hs - presenscial. area de bbq. area de juegos. gimnasio. piscina",https://www.plusvalia.com/propiedades/clasificado/veclapin-renta-o-venta-hermoso-depto-de-3-domitorios-con-62842181.html?n_src=Listado&n_pg=1&n_pos=6,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.233508,alquiler,departamento,Br cumbaya en renta suite amoblada 60 m,750.0,1.0,72,1,1.0,1,"Cumbayá, Quito",Quito,Pichincha,"USD 750 USD 1 Alícuota 72 m² tot. 1 hab. 1 baño Leonardo Da Vinci y Miguel Angel, Cumbayá, Quito Cumbaya, la primavera, En renta suite amoblada 60 m2, cuenta con todos los servicios básicos incluidos luz, agua, internet, Residencia de departamentos y suites cerca a la Iglesia de la Primavera, Scala Shopping, a 10 minutos de la usfq ideal para estudiantes de la usfq, ejecutivos que trabajan por el sector de CumbayáNo es edificio, No se aceptan mascotas -60 mt2 habitables, acabados de lujo, totalmente amoblada y equipada- Cocina estilo americano, sala comedor, pequeña area de escritorio- Habitación con cama king, closets, 1 baño completo- 1 garage- Área de máquinas comunal, área de bbq y estar &quot;A un click de tu nuevo hogar&quot;",https://www.plusvalia.com/propiedades/clasificado/alclapin-br-cumbaya-en-renta-suite-amoblada-60-m-149137552.html?n_src=Listado&n_pg=1&n_pos=7,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.234059,alquiler,departamento,Alquiler departamento sector el condado,430.0,,130,3,1.0,2,"Urbanizacion EL Condado El Condado, Quito",Quito,Pichincha,"USD 430 130 m² tot. 3 hab. 1 baño 2 estac. Urbanizacion EL Condado El Condado, Quito Departamento de alquiler en la urbanización el condadoexcelente ubicaciónZona residencial Facilidad de acceso en transporte público o privadoCerca del centro comercial El Condado, supermercados, centros educativos, centros médicos, restaurantes y cafeteríasEstá ubicado en un edificio con 3 departametos en total 1 por pisoCuenta con muy buena iluminación natural desde la planta baja del edificioÁrea 130m2Está distribuido en sala con chimenea, comedor, cocina independiente con espacio para lavadora, estudio, baño social, 3 habitaciones y 1 baño completo2 Parqueaderos1 BodegaLa urbanización cuenta con guardianía 24 horas, área verde, área de juegos infantiles y locales comerciales*valor alícuota urbanización $40, 00",https://www.plusvalia.com/propiedades/clasificado/alclapin-alquiler-departamento-sector-el-condado-148702844.html?n_src=Listado&n_pg=1&n_pos=8,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.234216,alquiler,departamento,Departamento de 90 m sup2 con 2 recamaras en alquiler,470.0,60.0,90,2,2.0,1,"Galaxias 85 Los Chillos, Quito",Quito,Pichincha,"USD 470 USD 60 Alícuota 90 m² tot. 2 hab. 2 baños 1 estac. Av. Galaxias 85 Los Chillos, Quito Departamento en alquiler en mirasierra, ideal para quienes buscan comodidad y seguridad. Este inmueble de 90 m² ofrece 2 habitaciones y 2 baños, perfecto para familias pequeñas o parejas. - Cuenta con un estacionamiento. - La propiedad tiene acabados de lujo y clóset. Ubicado en una urbanización privada con guardianía/seguridad privada y caseta de guardia, este departamento garantiza tranquilidad. - Disfrute de comodidades como gimnasio, terraza y parqueadero para visitas. - La cocina está equipada y cuenta con extractor de olores. El entorno ofrece centros comerciales, escuelas y parques cercanos, facilitando el acceso a servicios esenciales y áreas de recreación. Además, su ubicación frente a un parque proporciona un ambiente sereno y agradable. El dormitorio principal tiene baño propio y walk-in clóset. El precio es negociable.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-90-m-sup2--con-2-recamaras-en-alquiler-148790737.html?n_src=Listado&n_pg=1&n_pos=9,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:19:28.234292,alquiler,departamento,Elegancia y confort en el corazon de la gonzalez,1700.0,291.0,226,3,3.0,2,"Gonzalez Suarez Avenue González Suárez, Quito",Quito,Pichincha,"USD 1.700 USD 291 Alícuota 226 m² tot. 3 hab. 3 baños 2 estac. Gonzalez Suarez Avenue González Suárez, Quito Este espectacular departamento totalmente amoblado combina diseño de vanguardia con la calidez de materiales naturales. Detalles que marcan la diferencia: Espacio generoso: 226 m² diseñados para tu comodidad. Acabados de lujo: Pisos de piedra en áreas sociales y bambú en habitaciones para un ambiente acogedor. Distribución perfecta: 3 amplias habitaciones + acogedora sala de estar. Funcionalidad total: Cocina equipada, área de lavandería independiente y baño de servicio. 2 estacionamientos privados. El Edificio cuenta con: Seguridad 24/7, gimnasio equipado y sala de uso múltiple. Valor de arriendo: $1, 700. (Alícuota: $291 - incluye agua y guardianía). ¡Vive como te mereces este 2026! Escríbenos para agendar una visita guiada. Contáctanos por WhatsApp. citas disponoibles desde ya. Para rentar desde el mes de abril 2026. Ana Lucía Dávila Ver datos. Fernando Cepeda Ver datos",https://www.plusvalia.com/propiedades/clasificado/alclapin-elegancia-y-confort-en-el-corazon-de-la-gonzalez-148772548.html?n_src=Listado&n_pg=1&n_pos=10,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
