club,plantilla,edad_media,extranjeros,valor_mercado_total,liga,fecha_scrape
Real Madrid CF,28,"25,7",17,"1,34 mil mill. €",LaLiga,2026-03
FC Barcelona,24,"25,6",11,"1,17 mil mill. €",LaLiga,2026-03
Atlético de Madrid,23,"27,6",16,"587,00 mill. €",LaLiga,2026-03
Villarreal CF,28,"26,1",13,"286,30 mill. €",LaLiga,2026-03
Athletic Club,28,"27,1",3,"283,00 mill. €",LaLiga,2026-03
Real Sociedad,25,"26,1",9,"272,70 mill. €",LaLiga,2026-03
Real Betis Balompié,27,"29,0",13,"248,80 mill. €",LaLiga,2026-03
RC Celta de Vigo,28,"26,9",9,"172,90 mill. €",LaLiga,2026-03
Valencia CF,27,"28,1",14,"163,60 mill. €",LaLiga,2026-03
Girona FC,27,"28,5",14,"153,20 mill. €",LaLiga,2026-03
Sevilla FC,28,"27,9",17,"140,40 mill. €",LaLiga,2026-03
RCD Espanyol,23,"27,3",7,"124,20 mill. €",LaLiga,2026-03
Rayo Vallecano,27,"28,7",14,"107,30 mill. €",LaLiga,2026-03
CA Osasuna,23,"27,9",3,"100,80 mill. €",LaLiga,2026-03
RCD Mallorca,26,"27,7",11,"89,00 mill. €",LaLiga,2026-03
Levante UD,26,"26,0",8,"86,70 mill. €",LaLiga,2026-03
Elche CF,26,"26,6",10,"85,10 mill. €",LaLiga,2026-03
Getafe CF,25,"28,1",13,"82,90 mill. €",LaLiga,2026-03
Deportivo Alavés,24,"27,9",10,"66,90 mill. €",LaLiga,2026-03
Real Oviedo,25,"27,9",15,"63,30 mill. €",LaLiga,2026-03
Kylian MbappéDelantero centro,,Kylian Mbappé,Delantero centro,23,LaLiga,2026-03
Vedat MuriqiDelantero centro,,Vedat Muriqi,Delantero centro,18,LaLiga,2026-03
Lamine YamalExtremo derecho,,Lamine Yamal,Extremo derecho,14,LaLiga,2026-03
Ante BudimirDelantero centro,,Ante Budimir,Delantero centro,14,LaLiga,2026-03
Mikel OyarzabalDelantero centro,,Mikel Oyarzabal,Delantero centro,12,LaLiga,2026-03
